"id","origin","source_file","source_page","level","target_word","passage","answer_definition","dictionary_options_json","dictionary_entries_json","review_status"
"Q001","교과서 추출 후보","국어4-1나_4단원.pdf","2","level1","모자","모자와 모자 최휘 엄마 손을 잡고 가면서 들었어요","문맥에 따라 머리에 쓰는 물건, 어머니와 아들로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q002","교과서 추출 후보","국어4-1나_4단원.pdf","2","level1","모자","모자는 모자이고 엄마와 아들은 엄마와 아들인데 왜 모자도 모자이고 엄마와 아들도 모자일까요","문맥에 따라 머리에 쓰는 물건, 어머니와 아들로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q004","교과서 추출 후보","국어4-1나_4단원.pdf","2","level1","모자","엄마와 나는 모자처럼 바람에 날아가지 않도록 손을 꾹 잡고 걸어요","문맥에 따라 머리에 쓰는 물건, 어머니와 아들로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q005","교과서 추출 후보","국어4-1나_4단원.pdf","16","level1","먹다","시장 구경 오늘 점심시간에 동점 상황에서 상대 축구팀에게 골을 먹고, 집에 돌아와 속상해하고 있을 때였다.","문맥에 따라 음식을 섭취하다, 점수를 잃다, 마음을 정하다 따위의 뜻으로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q006","교과서 추출 후보","국어4-1나_4단원.pdf","16","level1","먹다","오늘 살 게 많아서 손이 부족하네.” 집을 나서면서 ‘좋아하는 과일을 사 달라고 해야지!’ 하고 마음을 먹었다.","문맥에 따라 음식을 섭취하다, 점수를 잃다, 마음을 정하다 따위의 뜻으로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q007","교과서 추출 후보","국어4-1나_4단원.pdf","16","level2","들다","오늘 살 게 많아서 손이 부족하네.” 집을 나서면서 ‘좋아하는 과일을 사 달라고 해야지!’ 하고 마음을 먹었다. “오늘 저녁으로 고등어구이 어때?” 나는 어머니를 향해 엄지손가락을 들어 보이며 밝게 웃었다. “고등어잡이 배 에서 바로 온 거라 아주 싱싱합니다.” 생선 가게 아주머니께서 말씀하셨다.","문맥에 따라 올리다, 안으로 가다, 마음에 맞다, 비용이나 시간이 필요하다 따위의 뜻으로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q008","교과서 추출 후보","국어4-1나_4단원.pdf","16","level2","저녁","오늘 살 게 많아서 손이 부족하네.” 집을 나서면서 ‘좋아하는 과일을 사 달라고 해야지!’ 하고 마음을 먹었다. “오늘 저녁으로 고등어구이 어때?” 나는 어머니를 향해 엄지손가락을 들어 보이며 밝게 웃었다. “고등어잡이 배 에서 바로 온 거라 아주 싱싱합니다.” 생선 가게 아주머니께서 말씀하셨다.","문맥에 따라 시간대, 저녁에 먹는 끼니로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q009","교과서 추출 후보","국어4-1나_4단원.pdf","16","level1","배","“고등어잡이 배 에서 바로 온 거라 아주 싱싱합니다.” 생선 가게 아주머니께서 말씀하셨다.","문맥에 따라 신체의 일부, 과일, 물 위의 운송 수단, 곱절 따위의 뜻으로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q010","교과서 추출 후보","국어4-1나_4단원.pdf","16","level2","눈","“고등어잡이 배 에서 바로 온 거라 아주 싱싱합니다.” 생선 가게 아주머니께서 말씀하셨다. 바다에서 그물을 올리며 구 슬땀을 흘리는 어부들의 모습이 눈에 보이는 것만 같았다. “엄마가 어릴 때는 과일을 직접 따서 먹기도 했단다.","문맥에 따라 보는 기관, 보는 능력, 눈길 따위의 뜻으로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
"Q011","교과서 추출 후보","국어4-1나_4단원.pdf","16","level1","먹다","“엄마가 어릴 때는 과일을 직접 따서 먹기도 했단다.","문맥에 따라 음식을 섭취하다, 점수를 잃다, 마음을 정하다 따위의 뜻으로 쓰임","","","교과서 원문 정리 및 공식 사전 대조 필요; 모든 뜻 포함 불필요"
